"0","A 16 deg(2) survey of emission-line galaxies at z < 1.5 in HSC-SSP Public Data Release 1","Hayashi Masao, Tanaka Masayuki, Shimakawa Rhythm, Furusawa Hisanori, Momose Rieko, Koyama Yusei, Silverman John D., et. al","PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN","70","2018","01","https://doi.org/10.1093/pasj/psx088"
"1","An optically-selected cluster catalog at redshift 0.1 < z < 1.1 from the Hyper Suprime-Cam Subaru Strategic Program S16A data","Oguri Masamune, Lin Yen-Ting, Lin Sheng-Chieh, Nishizawa Atsushi J., More Anupreeta, More Surhud, Hsieh Bau-Ching, et. al","PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN","70","2018","01","https://doi.org/10.1093/pasj/psx042"
"2","Clustering of galaxies around AGNs in the HSC Wide survey","Shirasaki Yuji, Akiyama Masayuki, Nagao Tohru, Toba Yoshiki, He Wanqiu, Ohishi Masatoshi, Mizumoto Yoshihiko, et. al","PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN","70","2018","01","https://doi.org/10.1093/pasj/psx099"
"3","Clustering of quasars in a wide luminosity range at redshift 4 with Subaru Hyper Suprime-Cam Wide-field imaging","He Wanqiu, Akiyama Masayuki, Bosch James, Enoki Motohiro, Harikane Yuichi, Ikeda Hiroyuki, Kashikawa Nobunari, et. al","PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN","70","2018","01","https://doi.org/10.1093/pasj/psx129"
"4","Enhancement of galaxy overdensity around quasar pairs at z < 3.6 based on the Hyper Suprime-Cam Subaru Strategic Program Survey","Onoue Masafusa, Kashikawa Nobunari, Uchiyama Hisakazu, Akiyama Masayuki, Harikane Yuichi, Imanishi Masatoshi, Komiyama Yutaka, et. al","PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN","70","2018","01","https://doi.org/10.1093/pasj/psx092"
"5","First data release of the Hyper Suprime-Cam Subaru Strategic Program","Aihara Hiroaki, Armstrong Robert, Bickerton Steven, Bosch James, Coupon Jean, Furusawa Hisanori, Hayashi Yusuke, et. al","PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN","70","2018","01","https://doi.org/10.1093/pasj/psx081"
"6","First results on the cluster galaxy population from the Subaru Hyper Suprime-Cam survey. I. The role of group or cluster environment in star formation quenching from z=0.2 to 1.1","Jian Hung-Yu, Lin Lihwai, Oguri Masamune, Nishizawa Atsushi J., Takada Masahiro, More Surhud, Koyama Yusei, et. al","PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN","70","2018","01","https://doi.org/10.1093/pasj/psx096"
"7","First results on the cluster galaxy population from the Subaru Hyper Suprime-Cam survey. II. Faint end color-magnitude diagrams and radial profiles of red and blue galaxies at 0.1 < z < 1.1","Nishizawa Atsushi J., Oguri Masamune, Oogi Taira, More Surhud, Nishimichi Takahiro, Nagashima Masahiro, Lin Yen-Ting, et. al","PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN","70","2018","01","https://doi.org/10.1093/pasj/psx106"
"8","First Results on the Cluster Galaxy Population from the Subaru Hyper Suprime-Cam Survey. III. Brightest Cluster Galaxies, Stellar Mass Distribution, and Active Galaxies","Lin Yen-Ting, Hsieh Bau-Ching, Lin Sheng-Chieh, Oguri Masamune, Chen Kai-Feng, Tanaka Masayuki, Chiu I-Non, et. al","ASTROPHYSICAL JOURNAL","851, 2","2017","12","https://doi.org/10.3847/1538-4357/aa9bf5"
"9","GOLDRUSH. II. Clustering of galaxies at z similar to 4-6 revealed with the half-million dropouts over the 100 deg(2) area corresponding to 1 Gpc(3)","Harikane Yuichi, Ouchi Masami, Ono Yoshiaki, Saito Shun, Behroozi Peter, More Surhud, Shimasaku Kazuhiro, et. al","PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN","70","2018","01","https://doi.org/10.1093/pasj/psx097"
"10","Hyper Suprime-Cam: System design and verification of image quality","Miyazaki Satoshi, Komiyama Yutaka, Kawanomoto Satoshi, Doi Yoshiyuki, Furusawa Hisanori, Hamana Takashi, Hayashi Yusuke, et. al","PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN","70","2018","01","https://doi.org/10.1093/pasj/psx063"
"11","Luminous quasars do not live in the most overdense regions of galaxies at z similar to 4","Uchiyama Hisakazu, Toshikawa Jun, Kashikawa Nobunari, Overzier Roderik, Chiang Yi-Kuan, Marinello Murilo, Tanaka Masayuki, et. al","PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN","70","2018","01","https://doi.org/10.1093/pasj/psx112"
"12","Multiwavelength study of X-ray luminous clusters in the Hyper Suprime-Cam Subaru Strategic Program S16A field","Miyaoka Keita, Okabe Nobuhiro, Kitaguchi Takao, Oguri Masamune, Fukazawa Yasushi, Mandelbaum Rachel, Medezinski Elinor, et. al","PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN","70","2018","01","https://doi.org/10.1093/pasj/psx132"
"13","Photometric redshifts for Hyper Suprime-Cam Subaru Strategic Program Data Release 1","Tanaka Masayuki, Coupon Jean, Hsieh Bau-Ching, Mineo Sogo, Nishizawa Atsushi J., Speagle Joshua, Furusawa Hisanori, et. al","PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN","70","2018","01","https://doi.org/10.1093/pasj/psx077"
"14","Planck Sunyaev-Zel'dovich cluster mass calibration using Hyper Suprime-Cam weak lensing","Medezinski Elinor, Battaglia Nicholas, Umetsu Keiichi, Oguri Masamune, Miyatake Hironao, Nishizawa Atsushi J., Sifon Cristobal, et. al","PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN","70","2018","01","https://doi.org/10.1093/pasj/psx128"
"15","Source selection for cluster weak lensing measurements in the Hyper Suprime-Cam survey","Medezinski Elinor, Oguri Masamune, Nishizawa Atsushi J., Speagle Joshua S., Miyatake Hironao, Umetsu Keiichi, Leauthaud Alexie, et. al","PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN","70, 2","2018","03","https://doi.org/10.1093/pasj/psy009"
"16","Subaru High-z Exploration of Low-Luminosity Quasars (SHELLQs). II. Discovery of 32 quasars and luminous galaxies at 5.7 < z <= 6.8","Matsuoka Yoshiki, Onoue Masafusa, Kashikawa Nobunari, Iwasawa Kazushi, Strauss Michael A., Nagao Tohru, Imanishi Masatoshi, et. al","PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN","70","2018","01","https://doi.org/10.1093/pasj/psx046"
"17","The first-year shear catalog of the Subaru Hyper Suprime-Cam Subaru Strategic Program Survey","Mandelbaum Rachel, Miyatake Hironao, Hamana Takashi, Oguri Masamune, Simet Melanie, Armstrong Robert, Bosch James, et. al","PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN","70","2018","01","https://doi.org/10.1093/pasj/psx130"
"18","The Hyper Suprime-Cam SSP Survey: Overview and survey design","Aihara Hiroaki, Arimoto Nobuo, Armstrong Robert, Arnouts Stephane, Bahcall Neta A., Bickerton Steven, Bosch James, et. al","PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN","70","2018","01","https://doi.org/10.1093/pasj/psx066"
"19","The nature of H alpha-selected galaxies along the large-scale structure at z=0.4 revealed by Subaru Hyper Suprime-Cam survey","Koyama Yusei, Hayashi Masao, Tanaka Masayuki, Kodama Tadayuki, Shimakawa Rhythm, Yamamoto Moegi, Nakata Fumiaki, et. al","PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN","70","2018","01","https://doi.org/10.1093/pasj/psx078"
"20","The quasar luminosity function at redshift 4 with the Hyper Suprime-Cam Wide Survey","Akiyama Masayuki, He Wanqiu, Ikeda Hiroyuki, Niida Mana, Nagao Tohru, Bosch James, Coupon Jean, et. al","PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN","70","2018","01","https://doi.org/10.1093/pasj/psx091"
"21","Two- and three-dimensional wide-field weak lensing mass maps from the Hyper Suprime-Cam Subaru Strategic Program S16A data","Oguri Masamune, Miyazaki Satoshi, Hikage Chiaki, Mandelbaum Rachel, Utsumi Yousuke, Miyatake Hironao, Takada Masahiro, et. al","PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF JAPAN","70","2018","01","https://doi.org/10.1093/pasj/psx070"
"22","A CLIPPING METHOD TO MITIGATE THE IMPACT OF CATASTROPHIC PHOTOMETRIC REDSHIFT ERRORS ON WEAK LENSING TOMOGRAPHY","Nishizawa Atsushi J., Takada Masahiro, Hamana Takashi, Furusawa Hisanori","ASTROPHYSICAL JOURNAL","718, 2, 1252-1265","2010","08","https://doi.org/10.1088/0004-637X/718/2/1252"
"23","A NEW MILKY WAY SATELLITE DISCOVERED IN THE SUBARU/HYPER SUPRIME-CAM SURVEY","Homma Daisuke, Chiba Masashi, Okamoto Sakurako, Komiyama Yutaka, Tanaka Masayuki, Tanaka Mikito, Ishigaki Miho N., et. al","ASTROPHYSICAL JOURNAL","832, 1","2016","11","https://doi.org/10.3847/0004-637X/832/1/21"
"24","Baryon acoustic oscillations with the cross-correlation of spectroscopic and photometric samples","Nishizawa Atsushi J., Oguri Masamune, Takada Masahiro","MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY","433, 1, 730-739","2013","07","https://doi.org/10.1093/mnras/stt761"
"25","Correlation of extragalactic gamma rays with cosmic matter density distributions from weak gravitational lensing","Shirasaki Masato, Macias Oscar, Horiuchi Shunsaku, Yoshida Naoki, Lee Chien-Hsiu, Nishizawa Atsushi J.","PHYSICAL REVIEW D","97, 12","2018","06","https://doi.org/10.1103/PhysRevD.97.123015"
"26","Cosmic microwave background-weak lensing correlation: Analytical and numerical study of nonlinearity and implications for dark energy","Nishizawa Atsushi J., Komatsu Eiichiro, Yoshida Naoki, Takahashi Ryuichi, Sugiyama Naoshi","ASTROPHYSICAL JOURNAL LETTERS","676, 2, L93-L96","2008","04",""
"28","GALAXY-SCALE GRAVITATIONAL LENS CANDIDATES FROM THE HYPER SUPRIME-CAM IMAGING SURVEY AND THE GALAXY AND MASS ASSEMBLY SPECTROSCOPIC SURVEY","Chan James H. H., Suyu Sherry H., More Anupreeta, Oguri Masamune, Chiueh Tzihong, Coupon Jean, Hsieh Bau-Ching, et. al","ASTROPHYSICAL JOURNAL","832, 2","2016","12","https://doi.org/10.3847/0004-637X/832/2/135"
"29","Perturbation theory for the non-linear halo power spectrum: the renormalized bias and halo bias","Nishizawa Atsushi J., Takada Masahiro, Nishimichi Takahiro","MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY","433, 1, 209-220","2013","07","https://doi.org/10.1093/mnras/stt716"
"30","Reconstruction of missing data using iterative harmonic expansion","Nishizawa Atsushi J., Inoue Kaiki Taro","MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY","462, 1, 588-600","2016","10","https://doi.org/10.1093/mnras/stw1664"
"31","SIMULATIONS OF BARYON ACOUSTIC OSCILLATIONS. II. COVARIANCE MATRIX OF THE MATTER POWER SPECTRUM","Takahashi Ryuichi, Yoshida Naoki, Takada Masahiro, Matsubara Takahiko, Sugiyama Naoshi, Kayo Issha, Nishizawa Atsushi J., et. al","ASTROPHYSICAL JOURNAL","700, 1, 479-490","2009","07","https://doi.org/10.1088/0004-637X/700/1/479"
"32","SUBARU HIGH-z EXPLORATION OF LOW-LUMINOSITY QUASARS (SHELLQs). I. DISCOVERY OF 15 QUASARS AND BRIGHT GALAXIES AT 5.7 < z < 6.9","Matsuoka Yoshiki, Onoue Masafusa, Kashikawa Nobunari, Iwasawa Kazushi, Strauss Michael A., Nagao Tohru, Imanishi Masatoshi, et. al","ASTROPHYSICAL JOURNAL","828, 1","2016","09","https://doi.org/10.3847/0004-637X/828/1/26"
"33","Subaru weak lensing measurement of a z=0.81 cluster discovered by the Atacama Cosmology Telescope Survey","Miyatake Hironao, Nishizawa Atsushi J., Takada Masahiro, Mandelbaum Rachel, Mineo Sogo, Aihara Hiroaki, Spergel David N., et. al","MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY","429, 4, 3627-3644","2013","03","https://doi.org/10.1093/mnras/sts643"
"34","The integrated Sachs-Wolfe effect and the Rees-Sciama effect","Nishizawa Atsushi J.","PROGRESS OF THEORETICAL AND EXPERIMENTAL PHYSICS","6","2014","06","https://doi.org/10.1093/ptep/ptu062"
"36","Discovery of the First Low-luminosity Quasar at z > 7","Matsuoka Yoshiki, Onoue Masafusa, Kashikawa Nobunari, Strauss Michael A., Iwasawa Kazushi, Lee Chien-Hsiu, Imanishi Masatoshi, et. al","ASTROPHYSICAL JOURNAL LETTERS","872, 1","2019","02","https://doi.org/10.3847/2041-8213/ab0216"
"37","Effect of dark energy perturbation on cosmic voids formation","Endo Takao, Nishizawa Atsushi J., Ichiki Kiyotomo","MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY","478, 4, 5230-5239","2018","08","https://doi.org/10.1093/mnras/sty1292"
"38","Subaru High-z Exploration of Low-luminosity Quasars (SHELLQs). IV. Discovery of 41 Quasars and Luminous Galaxies at 5.7 <= z <= 6.9","Matsuoka Yoshiki, Iwasawa Kazushi, Onoue Masafusa, Kashikawa Nobunari, Strauss Michael A., Lee Chien-Hsiu, Imanishi Masatoshi, et. al","ASTROPHYSICAL JOURNAL SUPPLEMENT SERIES","237, 1","2018","07","https://doi.org/10.3847/1538-4365/aac724"
"39","Subaru High-z Exploration of Low-luminosity Quasars (SHELLQs). V. Quasar Luminosity Function and Contribution to Cosmic Reionization at z=6","Matsuoka Yoshiki, Strauss Michael A., Kashikawa Nobunari, Onoue Masafusa, Iwasawa Kazushi, Tang Ji-Jia, Lee Chien-Hsiu, et. al","ASTROPHYSICAL JOURNAL","869, 2","2018","12","https://doi.org/10.3847/1538-4357/aaee7a"
"40","Weak-lensing Mass Calibration of ACTPol Sunyaev-Zel'dovich Clusters with the Hyper Suprime-Cam Survey","Miyatake Hironao, Battaglia Nicholas, Hilton Matt, Medezinski Elinor, Nishizawa Atsushi J., More Surhud, Aiola Simone, et. al","ASTROPHYSICAL JOURNAL","875, 1","2019","04","https://doi.org/10.3847/1538-4357/ab0af0"
"41","Measurement of redshift-dependent cross-correlation of HSC clusters and Fermi gamma-rays","Hashimoto Daiki, Nishizawa Atsushi J., Shirasaki Masato, Macias Oscar, Horiuchi Shunsaku, Tashiro Hiroyuki, Oguri Masamune","MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY","484, 4, 5256-5266","2019","04","https://doi.org/10.1093/mnras/stz321"
